Name,Created by,Created time,Discussion,Intra-Governance,Last edited time,POAP Status,Snapshot Link,Status,Successfully agreed upon,When approved?
DREAM DAO PROPOSAL #45: Co-Stewards Role,Adarsh,"July 1, 2022 5:02 PM",,No,"November 2, 2022 4:00 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x797f7513ea6ccd07624ffff7fdd0a9cdd35c530ceca3da375e858bb8b9ea89ff,Vote complete on Snapshot,Yes,"July 4, 2022"
DREAM DAO PROPOSAL #43: Choosing New Dream DAO Members,Adarsh,"July 1, 2022 5:02 PM",,No,"November 2, 2022 4:00 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xea4d40d02b4cde1fb8e19d8f93fa76ce2a4e3b88434b968e7304d46877af67a9,Vote complete on Snapshot,Yes,"July 4, 2022"
DREAM DAO PROPOSAL #42: Accepting Champions on a Rolling Basis,Adarsh,"June 24, 2022 2:29 PM",,No,"November 2, 2022 3:58 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xf742184279c97575791c007f3757c7af59c4f094d57e94a22af722a28da884f2,Vote complete on Snapshot,Yes,"June 27, 2022"
"DREAM DAO PROPOSAL #40: Sending Builders to Web3Conf, Goa",Adarsh,"June 24, 2022 2:29 PM",,No,"November 2, 2022 3:58 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x68d60c0c2a5bbb4ea5a1b13cb8813d49f46f6415cae6ffa06004cef82369a8c7,Vote complete on Snapshot,Yes,"June 27, 2022"
"Dream DAO PROPOSAL #39: Assign Ethan Wei as the new Partnerships WG Coordinator for Season ",Adarsh,"June 28, 2022 8:19 AM",,No,"November 2, 2022 3:58 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x30bcb1d7d6f7709adb2ad1e8d58872554684450516fe8ccdf270258bd22af5ba,Vote complete on Snapshot,Yes,"June 27, 2022"
Dream DAO PROPOSAL #38: How to Approach Membership,Adarsh,"June 16, 2022 5:35 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xb8841d6d8febf19035116c25ae6f1b2833965062aeadaa6fd77ed4de9e213b50,Vote complete on Snapshot,Yes,"June 20, 2022"
Dream DAO PROPOSAL #37: Builder Principles / Code,Adarsh,"June 16, 2022 5:35 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x3455f5647cdd93d13f5be9edb074a79f06a49a1818cb61cb5d97d69574a55831,Vote complete on Snapshot,Yes,"June 20, 2022"
DREAM DAO PROPOSAL #36: Member Onboarding,Adarsh,"June 16, 2022 5:35 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x24c1fd1285ec523ea404e45f69d6d047482330507c69b63349622f84e6d0e52d,Vote complete on Snapshot,Yes,"June 20, 2022"
Dream DAO PROPOSAL #35: Non-elected Roles,Adarsh,"June 16, 2022 5:34 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x20d774eb488183cd1e973c9a9ee5bd9d4a05fa1962702e9e9903cdf51b232846,Vote complete on Snapshot,Yes,"June 20, 2022"
DREAM DAO PROPOSAL #34: Conflict Resolution System,Adarsh,"June 16, 2022 5:23 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x1397a1ca4f74fb5042b1f60e7e695b6cb93f005ceb12a8e4c4c3038bc5ded9eb,Vote complete on Snapshot,Yes,"June 20, 2022"
"DREAM DAO PROPOSAL #33: Choosing a DAO Documentarian ",Madison Adams,"June 2, 2022 10:23 AM",,No,"November 2, 2022 3:57 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xba967724748f0a649dc8f2d3d6773f9ef1b31d697e060e64b3541217f5f911ed,Vote complete on Snapshot,Yes,"June 6, 2022"
DREAM DAO PROPOSAL #32: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account (#3),Gary Sheng,"May 30, 2022 2:05 PM",,No,"November 2, 2022 3:56 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xe4ad4cab02917e6ecc99ad1f30bd566b282c41b091f5bdc6ec4f19637e627907,Vote complete on Snapshot,Yes,"June 3, 2022"
"DREAM DAO PROPOSAL #30: Onboarding New Builders and Champions ",Madison Adams,"May 27, 2022 3:11 PM",,No,"November 2, 2022 3:55 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xdd72140f84dd50252c4a8d414110a0410ae319fd7c04e9e226e10b02f69eede1,Vote complete on Snapshot,Yes,"June 2, 2022"
"DREAM DAO PROPOSAL #29: Create a NEAR Protocol Education Group ",Julia Pepper,"May 16, 2022 11:57 PM",,No,"November 2, 2022 3:55 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x37425c8b050dbf8639aa90d918bd8d57123d9effff508aa8f7f12d0f92d8d19c,Vote complete on Snapshot,Yes,"June 2, 2022"
"Dream DAO Proposal #28: Collective Blog Initiative + its Bounty System ",Timofei Dort-Golts,"May 18, 2022 6:01 AM",,No,"November 2, 2022 3:55 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xe513409a25ecc0ceb9497504d0c6f2e48969d12ecc5fbdf08354c815fd5ef8c9,Vote complete on Snapshot,Yes,"May 24, 2022"
"Dream DAO Proposal #27: Constitution ",Madison Adams,"May 17, 2022 11:46 AM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xeaff38a09fa01cc87283c461ca89b0fa56725c9fd520872608e940f5d2236fcf,Vote complete on Snapshot,Yes,"May 23, 2022"
"Dream DAO Proposal #26: Season 2 Working Groups ",Madison Adams,"May 17, 2022 11:45 AM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x1b40b9c63d5d232273b92c39187dc8845f6678180b67f9e7b64eb915f8632831,Vote complete on Snapshot,Yes,"May 23, 2022"
Dream DAO Proposal #25: Create Dreamlist for DreamDAO Skywalkerz Drop #2,Madison Adams,"May 17, 2022 11:45 AM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x9213b1751193de92f43a75e92aff4afe671c086b3018cce1afeb9a7be1f5974f,Vote complete on Snapshot,Yes,"May 23, 2022"
"DREAM DAO PROPOSAL #24: Membership Renewal Process ",Madison Adams,"April 26, 2022 6:09 PM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x085dc72e27094b7a72412590b6e15735b204509f5936f2a952f0f347409d0edc,Vote complete on Snapshot,Yes,"May 5, 2022"
"DREAM DAO PROPOSAL #23: Dream DAO Council ",Madison Adams,"April 26, 2022 6:00 PM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x9ff0c1149974e72530026fe1cda7adc813b5bc2169ad5592aade4e6ef5479f91,Vote complete on Snapshot,Yes,"May 5, 2022"
"DREAM DAO PROPOSAL #22: SkywalkerZ Drop #2 ",Madison Adams,"April 26, 2022 5:31 PM",,No,"November 2, 2022 3:54 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xb12332b1096f4368b5962ab5011ad806a12641fde9578a2b8826aae3fdefd3e2,Vote complete on Snapshot,Yes,"May 5, 2022"
DREAM DAO PROPOSAL #20: Solidify the Election Process Design,Timofei Dort-Golts,"April 19, 2022 12:46 AM",,No,"November 2, 2022 3:53 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x22ac94cc5dafa006ca84046dc53229415d223faafb9eb558389d81ea05834661,Vote complete on Snapshot,Yes,"April 25, 2022"
DREAM DAO PROPOSAL #19: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account (#2),Gary Sheng,"April 15, 2022 7:41 AM",,No,"November 2, 2022 3:52 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x9487a4c949809440f4eb0d4f8eaa0469576bcdb12c8d4782f2357126c83d5c6b,Vote complete on Snapshot,Yes,"April 19, 2022"
"DREAM DAO Proposal #18: Retroactive Payments to Builders Who Made Significant Contributions to Seasons 0 + 1 ",Ash Kranti Srivastava,"March 24, 2022 8:51 PM",,No,"November 2, 2022 3:52 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x64763958ddd7e74fcf7fcf3feba70123c346c957ddc520c46a50debadb0a1f49,Vote complete on Snapshot,Yes,"April 16, 2022"
DREAM DAO Proposal #17: Dream DAO Spring Break,Vedanth Rohit,"March 21, 2022 11:15 PM",,No,"November 2, 2022 3:52 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x9baa8bb2c40a874e318028f83eea07d2f417f600c4b8738829cef220fa6aba14,Vote complete on Snapshot,Yes,"March 26, 2022"
DREAM DAO PROPOSAL #15: Establish Partnership Governance Process,Tyler Stambaugh,"February 25, 2022 3:56 PM",,No,"November 2, 2022 3:50 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x5cbc7df3fb5bb6f13dc9751e502d9d0cc88b0c0dde4494ecdac620c665842b38,Vote complete on Snapshot,Yes,"March 24, 2022"
DREAM DAO PROPOSAL #14: Allocating $3k for first Strategic Merch Blast,Gary Sheng,"March 18, 2022 10:01 AM",,No,"November 2, 2022 3:50 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xfa920fbfafce97422615dc72cbdd0755da3a4991a0c95a51ee250db03adf1af7,Vote complete on Snapshot,Yes,"March 24, 2022"
DREAM DAO PROPOSAL #13: Partnership with Crypto College,Adarsh,"April 15, 2022 8:03 AM",,No,"November 2, 2022 3:50 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xc9d9a3f9421e89275bf19994a41dab5e62ecc61c42300d60c13e344389191b29,Vote complete on Snapshot,Yes,"March 22, 2022"
DREAM DAO PROPOSAL #11: Batching Governance Proposals Into Single Notifications,Ash Kranti Srivastava,"March 9, 2022 5:56 PM",,No,"October 9, 2022 2:13 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x285b9289f2169c327d947050f3a710d874833a53ecbad436af1559a76e98544f,Vote complete on Snapshot,Yes,"March 13, 2022"
DREAM DAO PROPOSAL #9: Merge Explorers Program and DAO Learning WG,Timofei Dort-Golts,"March 1, 2022 5:19 AM",,No,"October 9, 2022 2:13 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xa379a0467ab389d458ca5d6006dcb5dcd9eea0f28a7a2452c28a727d7878188f,Vote complete on Snapshot,Yes,"March 13, 2022"
DREAM DAO PROPOSAL #8: Selecting Builders to appear on the Forefront community hangout / podcast,Madhav,"February 28, 2022 1:59 PM",,No,"October 9, 2022 2:12 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x2a4307a65d7900e34890de1728d95f21d6e9118f82bb8277eb4561c10e7be22c,Vote complete on Snapshot,Yes,"March 6, 2022"
GOVERNANCE WG PROPOSAL #1: Approving Tentative Design of Governance WG,Timofei Dort-Golts,"March 5, 2022 10:35 PM",,Yes,"October 9, 2022 2:11 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x1cf93433e53c157c647bd2b07a66d16327bedf09085c08b38477d93340afa548,Vote complete on Snapshot,Yes,"March 11, 2022"
DREAM DAO PROPOSAL #7: Solidifying the High Level Design of the Explorers Program Pilot,Gary Sheng,"March 7, 2022 12:58 PM",,No,"October 9, 2022 2:12 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x133255cf91d1e107a94958bee9d183f61ddcc20699c10f1c50985e688173b5b8,Vote complete on Snapshot,Yes,"March 11, 2022"
DREAM DAO PROPOSAL #6: Fund Gary’s DAO Operators Residency at Cabin DAO,Gary Sheng,"February 24, 2022 5:38 PM",,No,"October 9, 2022 2:11 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x8cabec365b998df55481a6833c16b5fc60257a79f77ad78e627710ce4fb97f1e,Vote complete on Snapshot,Yes,"March 1, 2022"
DREAM DAO PROPOSAL #5: Have a +1 Policy for Learning Together Sessions,Ash Kranti Srivastava,"February 13, 2022 11:12 AM",,No,"October 9, 2022 2:11 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xd2c808bb208f21ff6bdf10a6ba37d7195221c97f800f27ed4b929f3795e8fff5,Vote complete on Snapshot,Yes,"February 18, 2022"
DREAM DAO PROPOSAL #3: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account,Gary Sheng,"February 10, 2022 1:00 PM",,No,"October 9, 2022 2:10 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x229acb002dff3e5f2c4714f030e739c816940249914e8064119a23f6c3994908,Vote complete on Snapshot,Yes,"February 18, 2022"
DREAM DAO PROPOSAL #1: Julia Pepper Membership Proposal,Gary Sheng,"February 4, 2022 8:48 AM",,No,"October 9, 2022 2:09 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x6702dc42609ac6a2c7d78d24eec2b5b6cc3d9f8990f0b7c08cbafbf03fde20a8,Vote complete on Snapshot,Yes,"February 9, 2022"
DREAM DAO PROPOSAL #72: New Agreement Process,Adarsh,"March 24, 2023 2:55 PM",https://discord.com/channels/896096170621947974/1087487920279138384,No,"May 18, 2023 3:45 AM",Not Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xcebfa93d4498bb7f3f17b27ee047eaffaf7ae96beacc9229c4cd2132bfcb0be0,Vote complete on Snapshot,Yes,
