Week,Key Results,Updates,Working Group
March 6,,"1. Discussed potential Builders who can handle travel logistics for the Season [2 have expressed interest]
2. Even more budgeting for conferences
3. First study session took place
4. Started discussions on the OKRs that might need social media help
5. Talked about the possibility of surveying Builders [possibility being the key word here]
6. Shifted to more community-focused discussions for this week and for the weeks to come",Gatherings
March 13,,"1. Application questions
2. Thinking more ahead for a conferences in May
3. Even more discussions on improving LT sessions
4. Possibility of making an LT Host Guide
5. Discussed our next steps towards our SkywalkerZ launch 
6. We have timelines being made for everything now so yay… [still being made but still]",Gatherings
March 20,,"1. Travel Logistics Lead applications announcements 
2. Discussed the previous mentorship program and possible improvements
3. Conference application questions discussed",Gatherings
March 27,,"1. LT potential improvements discussed
2.Road to the SkywalkerZ drop
3. Hosting study sessions",Gatherings
April 2,,"1. Mentorship document with changes and improvements completed
2. Season 4 Bootcamp
3. Aayush selected as Travel Logistics Lead
4. Shifting conferences to more local meetups [start of discussion]

[meeting was postponed due to low turnout so the updates carry on to the next week]",Gatherings
April 9,," ",Gatherings
Feb 20,"1. Proposals, 2. DAO Membership, 3. Election System, 4. Membership Application, 5. Tech Exploration","1. OKRs for the season have been finalized!
2. Mailing List has been created and Calendar invites have been sent out
3. ",Governance
Feb 27,,"1. Meeting was cancelled :(
2. 
3. ",Governance
Mar 6,"1. Proposals, 2. DAO Membership","1. We deliberated on OKR 1 and came up with a new framework for the Voting processes
2. We also discussed OKR 2 a bit
3. ",Governance
Mar 13,,"1. We finally have a fixed meeting time!
2. The weekly meeting shifted from Fridays to Tuesdays. The last Friday meeting was on Mar 03. Since the upcoming Tuesday was just a couple of days after this, the next meeting happend on the next Tuesday on Mar 14. Hence, there was no meeting during this week.
3. ",Governance
Mar 20,"1. Proposals, 2. DAO Membership, 5. Tech Exploration","[INCOMPLETE]

1. Aditya (GWG Lead) and Adarsh (Agreements Coordinator) start writing a proposal that will implement the solutions propsed by the WG for OKR 1
2. We realized that OKR 2 needs to be rewritten to ensure we can have a productive discussion around it.
3. OKR 5 is dicussed in the meeting.
",Governance
