Name,Created by,Snapshot Link,Status,POAP Status,Successfully agreed upon,Discussion,When approved?,Created time
DREAM DAO PROPOSAL #63: Season 3 Leadership Structure,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x44ac86f803af53f5c7ed7908c640f1d786ba68ac265cf1a8f850a3f9a482f7c2,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1051902183454543942,"December 20, 2022","December 16, 2022 1:57 PM"
DREAM DAO PROPOSAL #62: Season 3 Working Groups,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x721ebd4ec8198871156a88bc096ec15b0dc31eb28b5dd43f1b129fb014050f3f,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1049365709341339719,"December 13, 2022","December 9, 2022 3:44 PM"
DREAM DAO PROPOSAL #61: Dream DAO x ETH India📝,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xf4d9c6f964dda32f8e92e19357d574b3ec0972fdf65adab3c744dc69353d9e00,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1044697524394524742,"November 29, 2022","November 25, 2022 3:31 PM"
DREAM DAO PROPOSAL #60: Recurring Role of Twitter Guardian📝,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x85ae440b82cb710a067b0345588f3a0148cc1bb8147f62d84943cdc0f0e3e878,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1034183198583824476,"November 1, 2022","October 28, 2022 1:57 PM"
DREAM DAO PROPOSAL #59: Recurring Role of Merit Minter,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x6deede424ccc87b89d9f373d5165a037d13f67cdb2b672b746a1cd974e22e8c1,Vote complete on Snapshot,Linked,Yes,,"November 1, 2022","October 28, 2022 2:08 PM"
DREAM DAO PROPOSAL #58: Explorers Program Retro,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x72a34b184ac3ad4c9b7d0799788a378ae54fb7b0ddc8f343f1cdf1ec69e2294e,Vote complete on Snapshot,Linked,Yes,,"November 1, 2022","October 28, 2022 1:57 PM"
DREAM DAO PROPOSAL #57: Dream DAO Web3 Bootcamp,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x2d7c2cbab36a93ac0e7085ec4308f19518924c14642488798cd82a48f6991dfe,Vote complete on Snapshot,Linked,Yes,,"September 12, 2022","September 9, 2022 4:29 PM"
DREAM DAO PROPOSAL #56: Recurring Role for Onboarding,Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0x846a25d99e7d4d19fe3ea3969c88637972c3aa9691d47262a74e500b554d7264,Vote complete on Snapshot,Linked,Yes,,"September 5, 2022","August 25, 2022 1:32 AM"
DREAM DAO PROPOSAL #55: How We Identify Champions Mid-Season,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x23d35fc44dee11c23d88e7d2bc52b54088c7f359998ec695cf95c44dcb62a8b8,Vote complete on Snapshot,Linked,Yes,,"September 5, 2022","September 2, 2022 4:25 PM"
"DREAM DAO PROPOSAL #54: Mentorship Program ",Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xb212b20d5639996db827fbfd42b036ca603123433ab12d0bab107a51b6528992,Vote complete on Snapshot,Linked,Yes,,"September 5, 2022","September 2, 2022 4:25 PM"
DREAM DAO PROPOSAL #53: Working Group Lead Payments,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x4e2b14d44c708cf9a46d0e2fcb7d70e0456da958f90cc5ccb935448c35e0fcf7,Vote complete on Snapshot,Linked,Yes,,"September 5, 2022","September 2, 2022 4:24 PM"
"DREAM DAO PROPOSAL #52: 6-month Seasons For Dream DAO ",Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xa18b6affd9461d10d7c2cd164e33208ac81e6dd491e619635fefa06b47ccb79f,Vote complete on Snapshot,Linked,Yes,,"August 16, 2022","August 12, 2022 3:32 PM"
DREAM DAO PROPOSAL #51: Travel Logistics,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x81cb535972e290f30b4501ff6b48fcab67d213d8b461da3681aa2e74b53aa202,Vote complete on Snapshot,Linked,Yes,,"July 25, 2022","July 22, 2022 1:01 PM"
DREAM DAO PROPOSAL #50: Paying Recurring Roles,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x3a4906ea735796a778e8f0dca6dd5b4d07b263b36a7561d83ba1f4a3987d421b,Vote complete on Snapshot,Linked,Yes,,"July 18, 2022","July 15, 2022 7:13 AM"
DREAM DAO PROPOSAL #49: Chaperone Policy,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xa3cfb1dc1b5c3a29d43c10e90d546ab0fb124ea0022a914d2a435243bd45d1be,Vote complete on Snapshot,Linked,Yes,,"July 18, 2022","July 15, 2022 7:13 AM"
DREAM DAO PROPOSAL #48: Sending Builders to ETH Mexico,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x05d4898b8edc34e070fd689326425fbfb9ab035504368c972c40862a813ff4f7,Vote complete on Snapshot,Linked,Yes,,"July 18, 2022","July 15, 2022 7:12 AM"
DREAM DAO PROPOSAL #47: Community Guidelines,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x794ac3ded46df3f4f0a756935b9385efa1741dad69575d5a6df69fe161491bc8,Vote complete on Snapshot,Linked,Yes,,"July 11, 2022","July 8, 2022 8:33 AM"
DREAM DAO PROPOSAL #46: Discord Revamp,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xa22ec2f4e6d9086930470eaf7dd23b43015aa3f7bf189de77faa7de1340a7317,Vote complete on Snapshot,Linked,No,,,"July 1, 2022 5:02 PM"
DREAM DAO PROPOSAL #45: Co-Stewards Role,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x797f7513ea6ccd07624ffff7fdd0a9cdd35c530ceca3da375e858bb8b9ea89ff,Vote complete on Snapshot,Linked,Yes,,"July 4, 2022","July 1, 2022 5:02 PM"
DREAM DAO PROPOSAL #44: Grant for Julia Pepper to attend ETH Barcelona,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x947a09831ac775b92261245619830834e519b982678a16c30632599750390ece,Vote complete on Snapshot,Linked,Approved but later modified,,"July 4, 2022","July 1, 2022 5:02 PM"
DREAM DAO PROPOSAL #43: Choosing New Dream DAO Members,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xea4d40d02b4cde1fb8e19d8f93fa76ce2a4e3b88434b968e7304d46877af67a9,Vote complete on Snapshot,Linked,Yes,,"July 4, 2022","July 1, 2022 5:02 PM"
DREAM DAO PROPOSAL #42: Accepting Champions on a Rolling Basis,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xf742184279c97575791c007f3757c7af59c4f094d57e94a22af722a28da884f2,Vote complete on Snapshot,Linked,Yes,,"June 27, 2022","June 24, 2022 2:29 PM"
DREAM DAO PROPOSAL #41: How Builders Become Alumni,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x3db73c49117501ed8b2440ba2e187ea27a49591248ae7622d810f0ea7672c8bb,Vote complete on Snapshot,Linked,No,,,"June 24, 2022 2:28 PM"
"DREAM DAO PROPOSAL #40: Sending Builders to Web3Conf, Goa",Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x68d60c0c2a5bbb4ea5a1b13cb8813d49f46f6415cae6ffa06004cef82369a8c7,Vote complete on Snapshot,Linked,Yes,,"June 27, 2022","June 24, 2022 2:29 PM"
"Dream DAO PROPOSAL #39: Assign Ethan Wei as the new Partnerships WG Coordinator for Season ",Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x30bcb1d7d6f7709adb2ad1e8d58872554684450516fe8ccdf270258bd22af5ba,Vote complete on Snapshot,Linked,Yes,,"June 27, 2022","June 28, 2022 8:19 AM"
Dream DAO PROPOSAL #38: How to Approach Membership,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xb8841d6d8febf19035116c25ae6f1b2833965062aeadaa6fd77ed4de9e213b50,Vote complete on Snapshot,Linked,Yes,,"June 20, 2022","June 16, 2022 5:35 AM"
Dream DAO PROPOSAL #37: Builder Principles / Code,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x3455f5647cdd93d13f5be9edb074a79f06a49a1818cb61cb5d97d69574a55831,Vote complete on Snapshot,Linked,Yes,,"June 20, 2022","June 16, 2022 5:35 AM"
DREAM DAO PROPOSAL #36: Member Onboarding,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x24c1fd1285ec523ea404e45f69d6d047482330507c69b63349622f84e6d0e52d,Vote complete on Snapshot,Linked,Yes,,"June 20, 2022","June 16, 2022 5:35 AM"
Dream DAO PROPOSAL #35: Non-elected Roles,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x20d774eb488183cd1e973c9a9ee5bd9d4a05fa1962702e9e9903cdf51b232846,Vote complete on Snapshot,Linked,Yes,,"June 20, 2022","June 16, 2022 5:34 AM"
DREAM DAO PROPOSAL #34: Conflict Resolution System,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x1397a1ca4f74fb5042b1f60e7e695b6cb93f005ceb12a8e4c4c3038bc5ded9eb,Vote complete on Snapshot,Linked,Yes,,"June 20, 2022","June 16, 2022 5:23 AM"
"DREAM DAO PROPOSAL #33: Choosing a DAO Documentarian ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0xba967724748f0a649dc8f2d3d6773f9ef1b31d697e060e64b3541217f5f911ed,Vote complete on Snapshot,Linked,Yes,,"June 6, 2022","June 2, 2022 10:23 AM"
DREAM DAO PROPOSAL #32: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account (#3),Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0xe4ad4cab02917e6ecc99ad1f30bd566b282c41b091f5bdc6ec4f19637e627907,Vote complete on Snapshot,Linked,Yes,,"June 3, 2022","May 30, 2022 2:05 PM"
DREAM DAO Proposal #31: Heartbeat,Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x3349909f6cd9be8561739b6cc90d08c22a91e096b7c09a663c2a198b86820c6d,,,No,,,"May 25, 2022 1:48 PM"
"DREAM DAO PROPOSAL #30: Onboarding New Builders and Champions ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0xdd72140f84dd50252c4a8d414110a0410ae319fd7c04e9e226e10b02f69eede1,Vote complete on Snapshot,Linked,Yes,,"June 2, 2022","May 27, 2022 3:11 PM"
"DREAM DAO PROPOSAL #29: Create a NEAR Protocol Education Group ",Julia Pepper,https://snapshot.org/#/thedreamdao.eth/proposal/0x37425c8b050dbf8639aa90d918bd8d57123d9effff508aa8f7f12d0f92d8d19c,Vote complete on Snapshot,Linked,Yes,,"June 2, 2022","May 16, 2022 11:57 PM"
"Dream DAO Proposal #28: Collective Blog Initiative + its Bounty System ",Timofei Dort-Golts,https://snapshot.org/#/thedreamdao.eth/proposal/0xe513409a25ecc0ceb9497504d0c6f2e48969d12ecc5fbdf08354c815fd5ef8c9,Vote complete on Snapshot,Linked,Yes,,"May 24, 2022","May 18, 2022 6:01 AM"
"Dream DAO Proposal #27: Constitution ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0xeaff38a09fa01cc87283c461ca89b0fa56725c9fd520872608e940f5d2236fcf,Vote complete on Snapshot,Linked,Yes,,"May 23, 2022","May 17, 2022 11:46 AM"
"Dream DAO Proposal #26: Season 2 Working Groups ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x1b40b9c63d5d232273b92c39187dc8845f6678180b67f9e7b64eb915f8632831,Vote complete on Snapshot,Linked,Yes,,"May 23, 2022","May 17, 2022 11:45 AM"
Dream DAO Proposal #25: Create Dreamlist for DreamDAO Skywalkerz Drop #2,Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x9213b1751193de92f43a75e92aff4afe671c086b3018cce1afeb9a7be1f5974f,Vote complete on Snapshot,Linked,Yes,,"May 23, 2022","May 17, 2022 11:45 AM"
"DREAM DAO PROPOSAL #24: Membership Renewal Process ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x085dc72e27094b7a72412590b6e15735b204509f5936f2a952f0f347409d0edc,Vote complete on Snapshot,Linked,Yes,,"May 5, 2022","April 26, 2022 6:09 PM"
"DREAM DAO PROPOSAL #23: Dream DAO Council ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x9ff0c1149974e72530026fe1cda7adc813b5bc2169ad5592aade4e6ef5479f91,Vote complete on Snapshot,Linked,Yes,,"May 5, 2022","April 26, 2022 6:00 PM"
"DREAM DAO PROPOSAL #22: SkywalkerZ Drop #2 ",Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0xb12332b1096f4368b5962ab5011ad806a12641fde9578a2b8826aae3fdefd3e2,Vote complete on Snapshot,Linked,Yes,,"May 5, 2022","April 26, 2022 5:31 PM"
DREAM DAO PROPOSAL #21: Establish Dream DAO Season 2 Budget,Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x69ddfc635b121760247f0c1f0e9f340c7f8cf26b19ac873709b9d67433e3e902,Vote complete on Snapshot,Linked,Approved but later modified,,"May 5, 2022","June 18, 2022 12:53 PM"
DREAM DAO PROPOSAL #21: Establish Dream DAO Season 2 Budget,Madison Adams,https://snapshot.org/#/thedreamdao.eth/proposal/0x69ddfc635b121760247f0c1f0e9f340c7f8cf26b19ac873709b9d67433e3e902,Vote complete on Snapshot,Linked,Approved but later modified,,"May 5, 2022","June 18, 2022 12:53 PM"
DREAM DAO PROPOSAL #21: Establish Dream DAO Season 2 Budget,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x69ddfc635b121760247f0c1f0e9f340c7f8cf26b19ac873709b9d67433e3e902,Vote complete on Snapshot,Linked,Approved but later modified,,"May 5, 2022","April 26, 2022 12:33 PM"
DREAM DAO PROPOSAL #20: Solidify the Election Process Design,Timofei Dort-Golts,https://snapshot.org/#/thedreamdao.eth/proposal/0x22ac94cc5dafa006ca84046dc53229415d223faafb9eb558389d81ea05834661,Vote complete on Snapshot,Linked,Yes,,"April 25, 2022","April 19, 2022 12:46 AM"
DREAM DAO PROPOSAL #19: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account (#2),Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x9487a4c949809440f4eb0d4f8eaa0469576bcdb12c8d4782f2357126c83d5c6b,Vote complete on Snapshot,Linked,Yes,,"April 19, 2022","April 15, 2022 7:41 AM"
"DREAM DAO Proposal #18: Retroactive Payments to Builders Who Made Significant Contributions to Seasons 0 + 1 ",Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0x64763958ddd7e74fcf7fcf3feba70123c346c957ddc520c46a50debadb0a1f49,Vote complete on Snapshot,Linked,Yes,,"April 16, 2022","March 24, 2022 8:51 PM"
DREAM DAO Proposal #17: Dream DAO Spring Break,Vedanth Rohit,https://snapshot.org/#/thedreamdao.eth/proposal/0x9baa8bb2c40a874e318028f83eea07d2f417f600c4b8738829cef220fa6aba14,Vote complete on Snapshot,Linked,Yes,,"March 26, 2022","March 21, 2022 11:15 PM"
DREAM DAO PROPOSAL #16: Approving the formation of Documentation WG,Vedanth Rohit,https://snapshot.org/#/thedreamdao.eth/proposal/0x1be4288dd5f406d910f9c071ebd177403fe9a0a2bfd4f483866d53b30ab77610,Vote complete on Snapshot,Linked,Approved but later modified,,"March 24, 2022","March 21, 2022 6:29 AM"
DREAM DAO PROPOSAL #15: Establish Partnership Governance Process,Tyler Stambaugh,https://snapshot.org/#/thedreamdao.eth/proposal/0x5cbc7df3fb5bb6f13dc9751e502d9d0cc88b0c0dde4494ecdac620c665842b38,Vote complete on Snapshot,Linked,Yes,,"March 24, 2022","February 25, 2022 3:56 PM"
DREAM DAO PROPOSAL #14: Allocating $3k for first Strategic Merch Blast,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0xfa920fbfafce97422615dc72cbdd0755da3a4991a0c95a51ee250db03adf1af7,Vote complete on Snapshot,Linked,Yes,,"March 24, 2022","March 18, 2022 10:01 AM"
DREAM DAO PROPOSAL #13: Partnership with Crypto College,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xc9d9a3f9421e89275bf19994a41dab5e62ecc61c42300d60c13e344389191b29,Vote complete on Snapshot,Linked,Yes,,"March 22, 2022","April 15, 2022 8:03 AM"
DREAM DAO PROPOSAL #12: Limit Discord Tagging of Voting Members,Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0xe72db64efd3adde68cc0c1118d0ca22ae3be02d32c1083e4e44bcd0d7b7e0215,Vote complete on Snapshot,Linked,,,"March 13, 2022","March 9, 2022 6:00 PM"
DREAM DAO PROPOSAL #11: Batching Governance Proposals Into Single Notifications,Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0x285b9289f2169c327d947050f3a710d874833a53ecbad436af1559a76e98544f,Vote complete on Snapshot,Linked,Yes,,"March 13, 2022","March 9, 2022 5:56 PM"
DREAM DAO PROPOSAL #10: Establish Meta Working Group,Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0x99b7b451c09a0efb3fe6cc99e90ddd3ffd00b9525cd54c0530d493174137ea9c,Vote complete on Snapshot,Linked,Approved but later modified,,"March 13, 2022","March 9, 2022 4:20 PM"
DREAM DAO PROPOSAL #9: Merge Explorers Program and DAO Learning WG,Timofei Dort-Golts,https://snapshot.org/#/thedreamdao.eth/proposal/0xa379a0467ab389d458ca5d6006dcb5dcd9eea0f28a7a2452c28a727d7878188f,Vote complete on Snapshot,Linked,Yes,,"March 13, 2022","March 1, 2022 5:19 AM"
DREAM DAO PROPOSAL #8: Selecting Builders to appear on the Forefront community hangout / podcast,Madhav,https://snapshot.org/#/thedreamdao.eth/proposal/0x2a4307a65d7900e34890de1728d95f21d6e9118f82bb8277eb4561c10e7be22c,Vote complete on Snapshot,Linked,Yes,,"March 6, 2022","February 28, 2022 1:59 PM"
DREAM DAO PROPOSAL #7: Solidifying the High Level Design of the Explorers Program Pilot,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x133255cf91d1e107a94958bee9d183f61ddcc20699c10f1c50985e688173b5b8,Vote complete on Snapshot,Linked,Yes,,"March 11, 2022","March 7, 2022 12:58 PM"
DREAM DAO PROPOSAL #6: Fund Gary’s DAO Operators Residency at Cabin DAO,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x8cabec365b998df55481a6833c16b5fc60257a79f77ad78e627710ce4fb97f1e,Vote complete on Snapshot,Linked,Yes,,"March 1, 2022","February 24, 2022 5:38 PM"
DREAM DAO PROPOSAL #5: Have a +1 Policy for Learning Together Sessions,Ash Kranti Srivastava,https://snapshot.org/#/thedreamdao.eth/proposal/0xd2c808bb208f21ff6bdf10a6ba37d7195221c97f800f27ed4b929f3795e8fff5,Vote complete on Snapshot,Linked,Yes,,"February 18, 2022","February 13, 2022 11:12 AM"
DREAM DAO PROPOSAL #4: Agreement on Creation of Champion and Builder NFTs for On-Chain Voting,Tyler Stambaugh,https://snapshot.org/#/thedreamdao.eth/proposal/0x1e2f1efc50110a1dfe908943a2974621d3484006ea39680a7520aee026bcba51,Vote complete on Snapshot,Linked,Approved but later modified,,"February 18, 2022","February 6, 2022 12:45 PM"
DREAM DAO PROPOSAL #3: Transfer USD Expenses CU Incurred for Dream DAO to CU ETH Account,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x229acb002dff3e5f2c4714f030e739c816940249914e8064119a23f6c3994908,Vote complete on Snapshot,Linked,Yes,,"February 18, 2022","February 10, 2022 1:00 PM"
DREAM DAO PROPOSAL #2: Extend Phase 1 to End of April,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x39432aca8ee64396158c2c4bb044de8ab5d13f927d25968dc705c5122037595c,Vote complete on Snapshot,Linked,Approved but later modified,,"February 9, 2022","February 4, 2022 10:42 AM"
GOVERNANCE WG PROPOSAL #1: Approving Tentative Design of Governance WG,Timofei Dort-Golts,https://snapshot.org/#/thedreamdao.eth/proposal/0x1cf93433e53c157c647bd2b07a66d16327bedf09085c08b38477d93340afa548,Vote complete on Snapshot,Linked,Yes,,"March 11, 2022","March 5, 2022 10:35 PM"
DREAM DAO PROPOSAL #1: Julia Pepper Membership Proposal,Gary Sheng,https://snapshot.org/#/thedreamdao.eth/proposal/0x6702dc42609ac6a2c7d78d24eec2b5b6cc3d9f8990f0b7c08cbafbf03fde20a8,Vote complete on Snapshot,Linked,Yes,,"February 9, 2022","February 4, 2022 8:48 AM"
