link to twitter profile,unique POAP claim link,Following us on twitter?,DMed?,Column
https://twitter.com/saneesh_3,"
http://POAP.xyz/claim/i73zaq
",Yes,Yes,Replied
https://twitter.com/Yagoalc,"
http://POAP.xyz/claim/g3nfdg
",Yes,Yes,Replied
https://twitter.com/krrisis,"
http://POAP.xyz/claim/0ndh2v
",Yes,Yes,
https://twitter.com/KDaverington,"
http://POAP.xyz/claim/q8syrd
",Yes,Yes,
https://twitter.com/BofkUR,"http://POAP.xyz/claim/w637dz
",Yes,Yes,
https://twitter.com/Zam2i_Z,"
http://POAP.xyz/claim/1ql9oc",Yes,Yes,
https://twitter.com/crazystonee,"http://POAP.xyz/claim/b5gsus
",Yes,Yes,
https://twitter.com/BoyJumri,"http://POAP.xyz/claim/fja1i3
",Yes,Yes,
https://twitter.com/136h6699,http://POAP.xyz/claim/sqszuz,Yes,Yes,
https://twitter.com/ZHUANG66208479,http://POAP.xyz/claim/tjaty1,Yes,Yes,
https://twitter.com/aibote113,http://POAP.xyz/claim/eq13e5,Yes,Yes,
https://twitter.com/NFTMILK,"http://POAP.xyz/claim/wbizbu
",Yes,Yes,
https://twitter.com/skl1312,"http://POAP.xyz/claim/5fiwai
",Yes,Yes,
https://twitter.com/sfsfsf20181,http://POAP.xyz/claim/zza7ze,Yes,Yes,
https://twitter.com/larsfattinger,,Yes,Yes,
https://twitter.com/CBruderly1,,Yes,Yes,
https://twitter.com/heartofawe,,Yes,Yes,Replied
https://twitter.com/linhsights,,Yes,Yes,Replied
https://twitter.com/sophcheng,,Yes,Yes,Replied
https://twitter.com/AFAFAXYZ,,Yes,Yes,
https://twitter.com/godofnftt,,Yes,Yes,
https://twitter.com/AmAm48650967,,Yes,Yes,
https://twitter.com/crypto4gainz,,Yes,Yes,
https://twitter.com/yongliangxu,,Yes,Yes,
https://twitter.com/BabLok420,,Yes,Yes,
https://twitter.com/liuxu97241835,,Yes,Yes,
https://twitter.com/fafa202288,,Yes,Yes,
https://twitter.com/ximihoo1,,Yes,Yes,
https://twitter.com/qz0701,,Yes,Yes,
https://twitter.com/Bluefunko,,Yes,Yes,
https://twitter.com/lucianodeangeIo,,Yes,Yes,
https://twitter.com/darktuhwj123,,Yes,Yes,
https://twitter.com/tony_intern,,Yes,Yes,
https://twitter.com/Ethan_Soloviev,,Yes,Yes,
https://twitter.com/ryandoobay1,,No,No,Incorrect
https://twitter.com/andotvu,,Yes,Yes,
https://twitter.com/CKQu5,,Yes,Yes,
https://twitter.com/gaga202588,,Yes,Yes,
https://twitter.com/BitcoinClub8,,Yes,Yes,
https://twitter.com/sawyermidddd,,Yes,Yes,
https://twitter.com/xin7777,,Yes,Yes,
https://twitter.com/welulanggaring,,Yes,Yes,
https://twitter.com/lyw7eth,,Yes,Yes,
https://twitter.com/Wuuuuuuuu11,,Yes,Yes,
https://twitter.com/safderwords,,Yes,Yes,
https://twitter.com/Kayipzaman5,,Yes,Yes,
https://twitter.com/mattwood_dev,,Yes,Yes,
https://twitter.com/luckycomingeth,,Yes,Yes,
https://twitter.com/Lzhouling,,Yes,Yes,
https://twitter.com/yuhanwang001,,Yes,Yes,
https://twitter.com/ZPackert,,Yes,Yes,
https://twitter.com/bluedream520,,Yes,Yes,
https://twitter.com/aji19997,,Yes,Yes,
https://twitter.com/matt_weatherall,,Yes,Yes,
https://twitter.com/SatyrnsCrypto,,Yes,Yes,
https://twitter.com/LBJ603,,Yes,Yes,
https://twitter.com/ssystww,,Yes,Yes,
https://twitter.com/Semiihx26,,Yes,Yes,
https://twitter.com/loveforfb,,Yes,Yes,
https://twitter.com/human82233982,,Yes,Yes,
https://twitter.com/gk_hany,,Yes,Yes,
https://twitter.com/Togepi63390500,,Yes,Yes,
https://twitter.com/yuelaiyue123,,Yes,Yes,
https://twitter.com/hiboo2001,,Yes,Yes,
https://twitter.com/CelFrt,,Yes,Yes,
https://twitter.com/DataHighwayeth,,Yes,Yes,
https://twitter.com/Anna80164,,Yes,Yes,
https://twitter.com/cankie,,Yes,Yes,
https://twitter.com/francketnath,,Yes,Yes,
https://twitter.com/feelsobad,,Yes,Yes,
https://twitter.com/SMD728,,Yes,Yes,
https://twitter.com/rgszhou,,Yes,Yes,
https://twitter.com/alanhuqi,,Yes,Yes,
https://twitter.com/LolCommentator,,Yes,Yes,
https://twitter.com/YNG8377,,Yes,Yes,
https://twitter.com/Victorbondey,,Yes,Yes,
https://twitter.com/NftPoapathon,,Yes,Yes,
https://twitter.com/MrParticleMar,,Yes,Yes,
https://twitter.com/qshy11,,Yes,Yes,
https://twitter.com/sudschem88,,Yes,Yes,
https://twitter.com/RadioCityGhost1,,Yes,Yes,
https://twitter.com/myIvan3,,Yes,Yes,
https://twitter.com/WayneBa92948024,,Yes,Yes,
https://twitter.com/SubhiKefo,,Yes,Yes,
https://twitter.com/jest3r_nft,,Yes,Yes,
https://twitter.com/layer2nft,,Yes,Yes,
https://twitter.com/ferhaataaslan,,Yes,Yes,
https://twitter.com/nmsl_luckly,,Yes,Yes,
https://twitter.com/yinxiao319,,Yes,Yes,
https://twitter.com/maidouya,,Yes,Yes,
https://twitter.com/gsymmy,,Yes,Yes,
https://twitter.com/CosmosHunter24h,,Yes,Yes,
https://twitter.com/VforVos,,Yes,Yes,
https://twitter.com/cryptoari20,,Yes,Yes,
https://twitter.com/khatababdulaziz,,Yes,Yes,Replied
https://twitter.com/FlowHunter24h,,Yes,Yes,
https://twitter.com/NFTSOCOOL,,Yes,Yes,
https://twitter.com/jonson009,,Yes,Yes,
https://twitter.com/dd258025801,,Yes,Yes,
https://twitter.com/keyneszeng,,Yes,Yes,
https://twitter.com/cryptobunnyyy,,Yes,Yes,
https://twitter.com/LudyDFINITY,,Yes,Yes,
https://twitter.com/GeraldA75485626,,Yes,Yes,
https://twitter.com/Cryptokama,,Yes,Yes,
https://twitter.com/WillieNeubauer1,,Yes,Yes,
https://twitter.com/zhangfatian,,Yes,Yes,
https://twitter.com/BlockChain_xin,,Yes,Yes,
https://twitter.com/yanfenfei216,,Yes,Yes,
https://twitter.com/yuanleiming8899,,Yes,Yes,
https://twitter.com/Xmasbooketh,,Yes,Yes,
https://twitter.com/18519865qwe,,Yes,Yes,
https://twitter.com/AirdropRewards,,Yes,Yes,
https://twitter.com/zhangyi09677818,,Yes,Yes,
https://twitter.com/btcpai,,Yes,Yes,
https://twitter.com/gozupencerede,,Yes,Yes,
https://twitter.com/Carlos_Franca79,,Yes,Yes,
https://twitter.com/johnny_1208,,Yes,Yes,
https://twitter.com/DonutsOG,,Yes,Yes,
https://twitter.com/xSLBAnGhDb1sGqp,,Yes,Yes,
https://twitter.com/InfiniteThaG,,Yes,Yes,
https://twitter.com/JackieTian7,,Yes,Yes,
https://twitter.com/hezo_o,,Yes,Yes,
https://twitter.com/IndiestudioAben,,Yes,Yes,
https://twitter.com/xiaozho18426658,,Yes,Yes,
https://twitter.com/crypto_natsu,,Yes,Yes,
https://twitter.com/shenba0628,,Yes,Yes,
https://twitter.com/gnovak_,,Yes,Yes,
https://twitter.com/DuaneJohnston19,,Yes,Yes,
https://twitter.com/alenbtcusd,,Yes,Yes,
https://twitter.com/neolee97091415,,Yes,Yes,
https://twitter.com/neolee97091415,,Yes,Yes,
https://twitter.com/QianmaoXiao,,Yes,Yes,
https://twitter.com/Deepak_S258,,Yes,Yes,
https://twitter.com/kurt19819,,Yes,Yes,
https://twitter.com/LeifHolt4,,Yes,Yes,
https://twitter.com/zixia999,,Yes,Yes,
https://twitter.com/Stake123_com,,Yes,Yes,
https://twitter.com/Heather21970144,,Yes,Yes,
https://twitter.com/Aryan111000,,Yes,Yes,
https://twitter.com/Potradamus,,Yes,Yes,
https://twitter.com/liuyihang13,,Yes,Yes,
https://twitter.com/snnkaya,,Yes,Yes,
https://twitter.com/xiaojiu181,,Yes,Yes,
https://twitter.com/vicsingh,,Yes,Yes,
https://twitter.com/MasterHuntgo,,Yes,Yes,
https://twitter.com/rose_eight,,Yes,Yes,
https://twitter.com/missgliterz,,Yes,Yes,
https://twitter.com/yue54497235,,Yes,Yes,
https://twitter.com/jiushilm,,Yes,Yes,
https://twitter.com/ShadowStars_091,,Yes,Yes,
https://twitter.com/GQF131419,,Yes,Yes,
https://twitter.com/DubyasNFT,,Yes,Yes,
https://twitter.com/chrissy_b89,,Yes,Yes,
https://twitter.com/Mao868686,,Yes,Yes,
https://twitter.com/petervanmullem,,Yes,Yes,
https://twitter.com/FegLucky,,Yes,Yes,
https://twitter.com/Lisaq52121,,Yes,Yes,
https://twitter.com/dpppps123,,Yes,Yes,Replied
https://twitter.com/carolwang007,,Yes,Yes,Replied
https://twitter.com/RickywindZHAO,,Yes,Yes,Replied
https://twitter.com/SUIXIN531,,Yes,Yes,Replied
https://twitter.com/kriptoga,,Yes,Yes,Replied
https://twitter.com/RochellHannay,,Yes,Yes,Replied
https://twitter.com/TheDavidZhou,,Yes,Yes,Replied
https://twitter.com/Richard36791883,,Yes,Yes,Replied
https://twitter.com/imhihi23,,Yes,Yes,Replied
https://twitter.com/poapstar,,Yes,Yes,Replied
https://twitter.com/giiokkkkk,,Yes,Yes,Replied
https://twitter.com/joyce007wy,,Yes,Yes,Replied
https://twitter.com/Horror_Mann,,Yes,Yes,Replied
https://twitter.com/defi_gua,,Yes,Yes,Replied
https://twitter.com/karthikvarma91,,Yes,Yes,Replied
https://twitter.com/bmorphism,,Yes,Yes,Replied
https://twitter.com/alexj13219589,,Yes,Yes,Replied
https://twitter.com/thaddeusss,,Yes,Yes,Replied
https://twitter.com/ProfessorStam,,Yes,Yes,Wait
https://twitter.com/1JFtY5FEKzsam5N,,Yes,Yes,Replied
https://twitter.com/linsir89940569,,Yes,Yes,Replied
https://twitter.com/wjf2006p,,Yes,Yes,Replied
https://twitter.com/Deanna80277911,,Yes,Yes,Replied
https://twitter.com/2km_sola,,Yes,Yes,Replied
https://twitter.com/OogwaysEarlobe,,Yes,Yes,Replied
https://twitter.com/ji10155577,,Yes,Yes,Replied
https://twitter.com/Stardust428,,Yes,Yes,Replied
https://twitter.com/jnptl,,Yes,Yes,Replied
https://twitter.com/ChinaMao5,,Yes,Yes,Replied
https://twitter.com/Daniel9188nft,,Yes,Yes,
https://twitter.com/JaeOhSONG,,Yes,Yes,Replied
https://twitter.com/logpage8341,,Yes,Yes,Replied
https://twitter.com/Drejane47,,Yes,Yes,Replied
https://twitter.com/huhuhuoooooooo,,Yes,Yes,Replied
https://twitter.com/hivefans,,Yes,Yes,Replied
https://twitter.com/tyevlag2,,Yes,Yes,Replied
https://twitter.com/Rex416_NFT,,Yes,Yes,Replied
https://twitter.com/GrafikLord,,Yes,Yes,Replied
https://twitter.com/AllishaLovato,,Yes,Yes,Replied
https://twitter.com/truelove_janet,,Yes,Yes,Replied
https://twitter.com/NFTs_by_Picasso,,Yes,Yes,
https://twitter.com/ali_catalkaya,,Yes,Yes,
https://twitter.com/Sukey2009,,Yes,Yes,
https://twitter.com/myrstad,,Yes,Yes,
https://twitter.com/jasonacurry,,Yes,Yes,
https://twitter.com/4lowMeNow,,Yes,Yes,
https://twitter.com/mafiori137,,Yes,Yes,
https://twitter.com/AbubakriSidiq1,,Yes,Yes,
https://twitter.com/J96402309,,Yes,Yes,
https://twitter.com/tennienimo,,Yes,Yes,
https://twitter.com/yzWATchBTV,,Yes,Yes,
https://twitter.com/mrhopelee,,Yes,Yes,
https://twitter.com/wenaltcoin,,Yes,Yes,
https://twitter.com/a380op,,Yes,Yes,
https://twitter.com/ORANGEZHC,,Yes,Yes,
https://twitter.com/mientulahkr,,Yes,Yes,
https://twitter.com/willin00,,Yes,Yes,
https://twitter.com/Woody11289008,,Yes,Yes,
https://twitter.com/butterfliesinsp,,Yes,Yes,
https://twitter.com/JJlin97600014,,Yes,Yes,
https://twitter.com/xie46893586,,Yes,Yes,
https://twitter.com/BrodiFly,,Yes,Yes,
https://twitter.com/VinnieCrypto,,Yes,Yes,
https://twitter.com/Dkicks25,,Yes,Yes,
https://twitter.com/alliswater88,,Yes,Yes,
https://twitter.com/lanitrock,,Yes,Yes,
https://twitter.com/heartofawe,,Yes,Yes,
https://twitter.com/micaela_31416,,Yes,Yes,
https://twitter.com/japanhonda,,Yes,Yes,
https://twitter.com/TheCryptoNexus,,Yes,Yes,
https://twitter.com/hxxh63386659,,Yes,Yes,
https://twitter.com/Okta07101991,,Yes,Yes,
" https://twitter.com/Devan19699772",,Yes,Yes,
https://twitter.com/0xtechding,,Yes,Yes,
https://twitter.com/xwywywyz,,Yes,Yes,Arath finished here
https://twitter.com/camanishsinghal,,Yes,Yes,
https://twitter.com/hougong366592,,Yes,Yes,
https://twitter.com/nkkanu,,Yes,Yes,
https://twitter.com/Marrycryptogirl,,Yes,Yes,Replied
https://twitter.com/udumbara520,,Yes,Yes,
https://twitter.com/GlazenerThurman,,Yes,Yes,Replied
https://twitter.com/BostinBshe,,Yes,Yes,
https://twitter.com/wlin66,,Yes,Yes,
https://twitter.com/keduoshou1230,,Yes,Yes,
https://twitter.com/jackey0413,,Yes,Yes,
https://twitter.com/bing18600,,Yes,Yes,
https://twitter.com/fbi97128,,Yes,Yes,
https://twitter.com/udumbara3344,,Yes,Yes,
https://twitter.com/liuguoqing20,,Yes,Yes,
https://twitter.com/chen64841140,,Yes,Yes,
https://twitter.com/pi_blockchain,,Yes,Yes,
https://twitter.com/jngc2020,,Yes,Yes,
https://twitter.com/mominghu,,Yes,Yes,
https://twitter.com/cty1076,,Yes,Yes,
https://twitter.com/CryptonSing,,Yes,Yes,
https://twitter.com/Great_Token,,Yes,Yes,
https://twitter.com/jacky60122,,Yes,Yes,Replied
https://twitter.com/Inpayeth,,Yes,Yes,Replied
https://twitter.com/Satoshipay1,,Yes,Yes,Replied
https://twitter.com/allen4187,,Yes,Yes,
https://twitter.com/konggu12345,,Yes,Yes,
https://twitter.com/santugml,,Yes,Yes,
https://twitter.com/23766900qqcom1,,Yes,Yes,
https://twitter.com/huangye321,,Yes,Yes,
https://twitter.com/axibaba4,,Yes,Yes,
https://twitter.com/P5RQ0ZqyA8T1ESe,,Yes,Yes,
https://twitter.com/iamowenrogers,,Yes,Yes,Replied
https://twitter.com/jonty8ball,,Yes,Yes,
https://twitter.com/guo46979620,,Yes,Yes,
https://twitter.com/lion18280093,,Yes,Yes,
https://twitter.com/xt600tx,,Yes,Yes,
https://twitter.com/saosaoliu,,Yes,Yes,
https://twitter.com/ltsDeath,,Yes,Yes,Replied
https://twitter.com/Whereismael,,Yes,Yes,Replied
https://twitter.com/JCal08141,,Yes,Yes,
https://twitter.com/guoliang020,,Yes,Yes,
https://twitter.com/yoyoyo3380,,Yes,Yes,
https://twitter.com/rainmorning_,,Yes,Yes,Replied
https://twitter.com/0xMinter,,Yes,Yes,
https://twitter.com/Jellyfi28512501,,Yes,Yes,
https://twitter.com/jujube_yyds,,Yes,Yes,
https://twitter.com/yawn59422417,,Yes,Yes,
https://twitter.com/Hlwzc,,Yes,Yes,
https://twitter.com/seashel39313822,,Yes,Yes,
https://twitter.com/Budi_Arif80,,Yes,Yes,
https://twitter.com/deejay_ruckus,,Yes,Yes,
https://twitter.com/0xMagn8,,Yes,Yes,
https://twitter.com/xmfish,,Yes,Yes,
https://twitter.com/Digitalks_eu,,Yes,Yes,
https://twitter.com/guoxinxin519,,Yes,Yes,
https://twitter.com/theweb3eth,,Yes,Yes,
https://twitter.com/KhodePanda,,Yes,Yes,
https://twitter.com/octophant_,,Yes,Yes,
https://twitter.com/l2qvViKICfKlmn5,,Yes,Yes,Replied
https://twitter.com/bmwdao26,,Yes,Yes,
https://twitter.com/DavidRedpath84,,Yes,Yes,
https://twitter.com/panganchaoren,,Yes,Yes,
https://twitter.com/looostme,,Yes,Yes,
https://twitter.com/ClaimFreeNfts,,Yes,Yes,
https://twitter.com/gjc597,,Yes,Yes,
https://twitter.com/HooMolly,,Yes,Yes,Replied
https://twitter.com/jecryptomy,,Yes,Yes,
https://twitter.com/AvijitGarai18,,Yes,Yes,
https://twitter.com/yangyuqing1999,,Yes,Yes,
https://twitter.com/GaoXiaoXia0815,,Yes,Yes,
https://twitter.com/zhangamei158,,Yes,Yes,
https://twitter.com/daienzhi,,Yes,Yes,
https://twitter.com/LCw17879643238,,Yes,Yes,
https://twitter.com/Cerem60120487,,Yes,Yes,
https://twitter.com/minghua246,,Yes,Yes,
https://twitter.com/youbin681,,Yes,Yes,
https://twitter.com/BamLu2,,Yes,Yes,
https://twitter.com/frank_cryptra,,Yes,Yes,
https://twitter.com/huahuafa868,,Yes,Yes,
https://twitter.com/guifang68,,Yes,Yes,
https://twitter.com/chenglin8910,,Yes,Yes,
https://twitter.com/meilu2542,,Yes,Yes,
https://twitter.com/velucxa,,Yes,Yes,
https://twitter.com/xiaofeng446,,Yes,Yes,
https://twitter.com/wanping08,,Yes,Yes,
https://twitter.com/dassujan97,,Yes,Yes,
https://twitter.com/zhuzidou,,Yes,Yes,
https://twitter.com/ace2099,,Yes,Yes,
https://twitter.com/douyuzhua,,Yes,Yes,
https://twitter.com/SheldonCorey,,Yes,Yes,
https://twitter.com/OrcatronEth,,Yes,Yes,
https://twitter.com/taoermao,,Yes,Yes,
https://twitter.com/facaizhifu16888,,Yes,Yes,
https://twitter.com/SetuThacker,,Yes,Yes,Replied
https://twitter.com/AnJing710,,Yes,Yes,
https://twitter.com/jmc9527,,Yes,Yes,
https://twitter.com/anting67,,Yes,Yes,
https://twitter.com/falali_eth,,Yes,Yes,
https://twitter.com/huazi789,,Yes,Yes,
https://twitter.com/mengmaxian,,Yes,Yes,
https://twitter.com/cryptomow_,,Yes,Yes,
https://twitter.com/kai11910781,,Yes,Yes,
https://twitter.com/Colleen29537212,,Yes,Yes,Replied
https://twitter.com/XoImiE7LHFcYGF0,,Yes,Yes,
https://twitter.com/ltsChuco,,Yes,Yes,
https://twitter.com/Blackma75708701,,Yes,Yes,
https://twitter.com/ljw368,,Yes,Yes,
https://twitter.com/gulugululu0,,Yes,Yes,
https://twitter.com/comicstorenft,,Yes,Yes,
https://twitter.com/maritan_twt,,Yes,Yes,
" https://twitter.com/josh_cruzp",,Yes,Yes,
https://twitter.com/BryanPetes,,Yes,Yes,
https://twitter.com/Theo3Austin,,Yes,Yes,
https://twitter.com/momingque,,Yes,Yes,
https://twitter.com/zikuwa,,Yes,Yes,
https://twitter.com/weizheng868,,Yes,Yes,
https://twitter.com/Mingsunset,,Yes,Yes,
https://twitter.com/CAluartes21,,Yes,Yes,
https://twitter.com/Little20211130,,Yes,Yes,
https://twitter.com/f4b1nh02?t=n3ITPn7Nmq3UFv2u3OoREA&s=09,,Yes,Yes,
